,,Date,Open,Close,High,Low,Volume,Money,Factor,Adj Close
600519.XSHG,2610,2018-06-07,714.89,706.74,719.94,704.87,4328155.0,3078137471.0,6.764744,706.74
600519.XSHG,2611,2018-06-08,705.86,704.01,711.2,696.81,3863013.0,2712363711.0,6.764744,704.01
600519.XSHG,2612,2018-06-11,702.29,702.0,711.29,695.3,4038612.0,2837404005.0,6.764744,702.0
600519.XSHG,2613,2018-06-12,704.05,723.23,727.13,702.7,6109386.0,4385043270.0,6.764744,723.23
600519.XSHG,2614,2018-06-13,723.96,715.21,726.33,713.9,3894607.0,2803441679.0,6.764744,715.21
600519.XSHG,2615,2018-06-14,714.91,711.41,718.35,701.5,3995744.0,2830514231.0,6.764744,711.41
600519.XSHG,2616,2018-06-15,709.64,709.76,714.58,705.88,3454771.0,2455441877.0,6.860743,709.76
600519.XSHG,2617,2018-06-19,705.78,677.33,705.78,676.42,6558746.0,4535664030.0,6.860743,677.33
600519.XSHG,2618,2018-06-20,680.09,700.82,702.11,680.09,4994361.0,3454583693.0,6.860743,700.82
600519.XSHG,2619,2018-06-21,702.32,696.9,714.86,696.4,4269203.0,3013867644.0,6.860743,696.9
600519.XSHG,2620,2018-06-22,692.02,703.52,703.95,688.35,3143926.0,2190055865.0,6.860743,703.52
600519.XSHG,2621,2018-06-25,703.03,702.63,714.94,702.02,3588399.0,2543272262.0,6.860743,702.63
600519.XSHG,2622,2018-06-26,702.4,692.75,706.59,685.59,5074985.0,3516945435.0,6.860743,692.75
600519.XSHG,2623,2018-06-27,690.18,663.05,694.77,661.73,6243004.0,4194739085.0,6.860743,663.05
600519.XSHG,2624,2018-06-28,655.31,652.49,659.89,639.7,5538700.0,3610842734.0,6.860743,652.49
600519.XSHG,2625,2018-06-29,653.75,671.33,672.1,647.05,3587866.0,2378884218.0,6.860743,671.33
600519.XSHG,2626,2018-07-02,674.14,653.06,678.55,645.21,4092209.0,2709882026.0,6.860743,653.06
600519.XSHG,2627,2018-07-03,651.41,637.79,656.94,622.48,9025660.0,5743330241.0,6.860743,637.79
600519.XSHG,2628,2018-07-04,635.11,634.11,642.46,631.44,4139348.0,2637494710.0,6.860743,634.11
600519.XSHG,2629,2018-07-05,642.46,644.65,657.33,642.46,5134456.0,3333680083.0,6.860743,644.65
600519.XSHG,2630,2018-07-06,648.88,655.42,661.67,641.78,4811160.0,3140922350.0,6.860743,655.42
600519.XSHG,2631,2018-07-09,660.84,667.46,669.86,660.56,4420665.0,2944655287.0,6.860743,667.46
600519.XSHG,2632,2018-07-10,669.07,666.1,671.37,654.69,3160886.0,2096683487.0,6.860743,666.1
600519.XSHG,2633,2018-07-11,651.63,660.43,664.48,644.49,2645301.0,1736875980.0,6.860743,660.43
600519.XSHG,2634,2018-07-12,658.98,676.91,680.24,658.98,4376797.0,2947129140.0,6.860743,676.91
600519.XSHG,2635,2018-07-13,681.28,685.58,686.6,674.69,3149617.0,2152944602.0,6.860743,685.58
600519.XSHG,2636,2018-07-16,690.46,692.64,701.3,689.29,3538356.0,2454501604.0,6.860743,692.64
600519.XSHG,2637,2018-07-17,694.77,681.4,694.77,675.52,3029654.0,2064190615.0,6.860743,681.4
600519.XSHG,2638,2018-07-18,681.4,676.82,688.06,674.58,2671806.0,1818760392.0,6.860743,676.82
600519.XSHG,2639,2018-07-19,678.25,680.04,682.79,674.6,1969774.0,1337080011.0,6.860743,680.04
600519.XSHG,2640,2018-07-20,680.55,680.21,682.04,668.16,3328465.0,2249792135.0,6.860743,680.21
600519.XSHG,2641,2018-07-23,675.5,671.89,680.22,660.82,3919162.0,2621763717.0,6.860743,671.89
600519.XSHG,2642,2018-07-24,672.45,684.12,685.87,663.57,4555329.0,3091209135.0,6.860743,684.12
600519.XSHG,2643,2018-07-25,685.55,682.67,688.24,679.18,2369142.0,1618737612.0,6.860743,682.67
600519.XSHG,2644,2018-07-26,687.34,675.15,687.34,673.87,2513333.0,1707662628.0,6.860743,675.15
600519.XSHG,2645,2018-07-27,675.5,677.85,683.12,669.99,2278678.0,1546655260.0,6.860743,677.85
600519.XSHG,2646,2018-07-30,678.16,660.09,679.77,656.22,4594887.0,3058614520.0,6.860743,660.09
600519.XSHG,2647,2018-07-31,661.09,666.72,668.04,660.09,2253602.0,1499353469.0,6.860743,666.72
600519.XSHG,2648,2018-08-01,671.28,656.17,672.1,655.41,2749837.0,1821933661.0,6.860743,656.17
600519.XSHG,2649,2018-08-02,657.11,638.64,657.11,631.33,5992777.0,3840134516.0,6.860743,638.64
600519.XSHG,2650,2018-08-03,637.87,623.17,637.87,620.61,5157684.0,3230239085.0,6.860743,623.17
600519.XSHG,2651,2018-08-06,621.35,614.63,627.77,607.81,4930088.0,3039091096.0,6.860743,614.63
600519.XSHG,2652,2018-08-07,617.03,629.86,631.29,607.6,4258639.0,2645263310.0,6.860743,629.86
600519.XSHG,2653,2018-08-08,630.54,620.63,632.36,616.64,3234429.0,2016438669.0,6.860743,620.63
600519.XSHG,2654,2018-08-09,615.84,635.0,637.41,615.03,3757455.0,2368461339.0,6.860743,635.0
600519.XSHG,2655,2018-08-10,635.0,630.69,637.66,627.96,2595096.0,1643993563.0,6.860743,630.69
600519.XSHG,2656,2018-08-13,626.85,623.39,626.85,611.88,3766679.0,2329262063.0,6.860743,623.39
600519.XSHG,2657,2018-08-14,623.39,624.22,628.23,618.14,2364016.0,1474124248.0,6.860743,624.22
600519.XSHG,2658,2018-08-15,623.92,608.31,624.1,606.66,3813169.0,2336994709.0,6.860743,608.31
600519.XSHG,2659,2018-08-16,598.4,595.14,613.55,587.39,6530851.0,3908421566.0,6.860743,595.14
600519.XSHG,2660,2018-08-17,603.45,582.67,603.45,578.22,5074613.0,3001465861.0,6.860743,582.67
600519.XSHG,2661,2018-08-20,580.46,591.79,592.48,566.15,5322792.0,3081035729.0,6.860743,591.79
600519.XSHG,2662,2018-08-21,593.81,616.29,617.03,593.81,5692883.0,3460897975.0,6.860743,616.29
